[1] 2.500000e+03 9.764641e-01 6.394871e-01 1.725697e-01 2.293489e-02 2.068249e-03
[1] 2.600000e+03 9.816599e-01 6.699231e-01 1.900339e-01 2.604223e-02 2.385069e-03
[1] 2.700000e+03 9.857496e-01 6.985360e-01 2.080444e-01 2.939435e-02 2.734097e-03
[1] 2.800000e+03 9.889566e-01 7.253136e-01 2.265339e-01 3.299457e-02 3.116943e-03
[1] 2.900000e+03 9.914627e-01 7.502690e-01 2.454350e-01 3.684539e-02 3.535199e-03
[1] 3.000000e+03 9.934150e-01 7.734361e-01 2.646807e-01 4.094848e-02 3.990430e-03
[1] 3.100000e+03 9.949315e-01 7.948656e-01 2.842052e-01 4.530475e-02 4.484171e-03
[1] 3.200000e+03 9.961063e-01 8.146214e-01 3.039443e-01 4.991430e-02 5.017926e-03
[1] 3.300000e+03 9.970142e-01 8.327773e-01 3.238358e-01 5.477652e-02 5.593168e-03
[1] 3.400000e+03 9.977143e-01 8.494141e-01 3.438200e-01 5.989008e-02 6.211329e-03
[1] 3.500000e+03 9.982530e-01 8.646171e-01 3.638399e-01 6.525295e-02 6.873803e-03
[1] 3.600000e+03 9.986667e-01 8.784743e-01 3.838412e-01 7.086249e-02 7.581946e-03
[1] 3.700000e+03 9.989838e-01 8.910744e-01 4.037732e-01 7.671542e-02 8.337068e-03
[1] 3.800000e+03 9.992265e-01 9.025056e-01 4.235881e-01 8.280789e-02 9.140435e-03
[1] 3.900000e+03 9.994120e-01 9.128542e-01 4.432415e-01 8.913551e-02 9.993267e-03
[1] 4.000000e+03 9.995535e-01 9.222039e-01 4.626926e-01 9.569338e-02 1.089674e-02
[1] 4.100000e+03 9.996613e-01 9.306351e-01 4.819036e-01 1.024761e-01 1.185197e-02
[1] 4.200000e+03 9.997434e-01 9.382246e-01 5.008405e-01 1.094780e-01 1.286004e-02
[1] 4.300000e+03 9.998057e-01 9.450447e-01 5.194723e-01 1.166927e-01 1.392197e-02
[1] 4.400000e+03 9.998531e-01 9.511637e-01 5.377713e-01 1.241138e-01 1.503873e-02
[1] 4.500000e+03 9.998890e-01 9.566454e-01 5.557130e-01 1.317344e-01 1.621125e-02
[1] 4.600000e+03 9.999162e-01 9.615490e-01 5.732760e-01 1.395473e-01 1.744038e-02
[1] 4.700000e+03 9.999368e-01 9.659296e-01 5.904416e-01 1.475450e-01 1.872695e-02
[1] 4.800000e+03 9.999523e-01 9.698379e-01 6.071940e-01 1.557199e-01 2.007172e-02
[1] 4.900000e+03 9.999641e-01 9.733205e-01 6.235199e-01 1.640641e-01 2.147539e-02
[1] 5.000000e+03 9.999730e-01 9.764202e-01 6.394087e-01 1.725697e-01 2.293862e-02
[1] 5.100000e+03 9.999797e-01 9.791760e-01 6.548519e-01 1.812284e-01 2.446201e-02
[1] 5200.0000000    0.9999847    0.9816235    0.6698433    0.1900321    0.0260461
[1] 5300.0000000    0.9999885    0.9837949    0.6843787    0.1989723    0.0276914
